Tag 1,Tag 2,Rules
4. Animal Welfare,"4.7. Breeding, Birthing, and Caring for Young Animals",organizations breed strategy takes consideration welfare traits suitability type environment animals rais Birth supervis timely action taken keep disturbances minimum extensive systems unaccustom daily supervision breeds strains suit easy births good maternal care us birth period plann coincide local climatic conditions favorable survival Practices procedures feed young provisions foster prior start Cervical artificial insemination AI carri competent operators Laparoscopic perform veterinarians train veterinarian appropriate pain relief Electroejaculation permitt fertility test follow requirements met a b Records male examin kept c evidence undue stress handl stimulation procedure abandon analgesic general anesthetic administer Pregnancy diagnosis individuals techniques Fetotomy skill person unborn dead cesarean section necessary possible Artificially rear conduct emergency situation eg animal reject mother sick dies insufficient milk alternative female receive sufficient colostrum ensure lambs kids artificially access diet 6 weeks old adequate intake feeds nutritional needs crias 12 Close restraint females purpose methods Lambs wean mothers Crias thirtysix 36 Animals maintain social group 2 date interval left potentially stressful castration andor vaccination 1 Breed stock selection criteria include Foot leg health Overall conformation Mother ability Temperament Ease includes retain herd flock annual older rebr degree close vary depend bre organization monitor time balance avoidance disturbance ne extra oversight example weather increase risk neonatal hypothermia strain includ choice expectation assistance likely mismother offspr ongo human intervention understood year avoid times snow ice storms flood extremes adversely affect survivability common Plann requires br when early higher mortality multiple factors produc lower weight complications big poorer instinct 3 lot problems reviews cycle able expect number f new production Preparation species involv range know obtain replacer equipment use previous years rare present site commenc workers case specific external people qualifi veterinary surgeons record them sign contractor declaration carry criterion laparoscopic place provide details performs supervises commercial farms electroejaculation recommend vet However stud technique males sold pregnancy also known embryotomy death confirm Ideally operation unable naturally preserve life history potential provides specifies situations relates individual examples large herds flocks season fall categories describ here Colostrum important newborn antibodies prevent disease 24 hours suckle provid 10 bodyweight spread Milk suitable withdrawn eat concentrates forages rule thumb birthweight automatic check growth rates achiev rate point Alternatives Cover fluids wet Skinn attach skin attempt work chance accept standard describes pasturebas sheep goats intensive and earlier detriment concentrate introduc age deem sources optimum grassbas unifi require land management state support lactat ewes does unexpect climate lead lack available fe lactation make decision lamb kid plan implement mitigate need occur future Minimum calculat reference youngest Lett stay remov help reduce recogniz precedence leadership conformancerelat maximum relat removal ConformanceRelat Leadership Major Minor Critical Recommendation Sheep wool Mohair Alpaca Skins
4. Animal Welfare,4.8. Handling and Transport ,Animals handl humanely mistreatment animals prohibit Positive humananimal relationships develop confident young age Extra care taken special needs includ heavily pregnant females lame injur breed males Heavily absolutely necessary waterfowl hatchlings chicks sick driven foot calm manner relax pace natural animal faster slowest Contingency plans place weak dur movement vehicle Audible visual aids eg rattles flags us preference physical contact expos sudden loud noise cause fear stress Electric prodders halters comfortable fitt chafe obstruct breath dogs a specially train undergo mov livestock b Dogs nip bite suitable muzzles c responsible workers good control d allow force quickly continue go appropriately prepar transport provision sufficient food water species condition expect length conditions journey avoid pain injury distress transportation f familiariz fe offer methods given assess determine fit follow auction slaughter unless purposes veterinary treatment Sick disabl unable stand unaid bear weight leg blind eyes body result poor welfare climatic short less 50 km purpose improve unnecessary suffer past 90 gestation New born navel completely heal Females birth previous seven 7 days caus additional shall legs ti restrain load unload facilities farm design construct maintain ensure safety way minimizes risk Waterfowl carri Ducks hand Geese individually Carry distances birds kept minimum crates plac carefully ensur backs pose organization maintains records death rates associat takes appropriate action address high does knowingly sell traders brokers intend export internationally 1 seen audit 2 Mistreatment includes rough kick strik slamm gates tripp throw dropp dragg pull fleece wings tail ears head horns neck lift 3 ensures handle calmly times Workers know signs lot vocalization actions reduce that 4 criterion covers goes avoidance bad cover requirement promotion positive interactions humans held extensive limit opportunities Nonetheless gather management tasks practices implement important walk houses interact lett time provid vehicular involves extra thought ne minimiz wait systems meant accommodations available rationale link overall hous observ group push ask spe trot front free rang different areas case applies contingency plan audible tools correctly ineffective noises heard shout vehicles equipment acceptable unacceptable known electric prods hotshots names device administers shock reason permitt unifi standard exception use stunn devices Halters temporary aid wear extend periods daily checks need halter safe gett caught items environment noncertifi certifi site Suitable comfortably dog breathe pant easily preparation depend propos Examples include Putt groups prior tak stable hierarchy Mov close giv chance settle date Ensur access long possible this preclude withdrawal warm cool feedstuffs deliver example drunk sources recognize nipple drinker source exposure meet unlikely recover euthaniz descriptions auditor list aligns distinction vulnerable reasons pasture exclusionary fenc protect predators recently pastures better nutrition moves justify show benefit week alpacas shear requirements section met Outside interviews confirm Note ropes remain sitt fix mobile maintenance sharp edges projections features Rais bays gradual incline make easier Ramps fall ramp Ideally solid sides obvious forward truck Shadow patterns drain apparent obstacles eliminat andor describes out reduces risks factor carry bird method ducks understood slid hold goose arm armpit whilst holds Adult geese shoulder joints finger between separate breast fully support simultaneously trailer area house transferr minimal Observation catch shows interview Transport identifi state repair broken protrud parts injure goal die But understand happen provide injuries deaths instances exce 05 or start increase investigate rate future Live sale transfer country another live single border neighbor land accomplish Handl Knowingly means directly trader broker deals buyer advertis communicat sold sent sells barn market multiple buyers purchases stock ConformanceRelat MEL Indicator Critical Major Minor Sheep wool Mohair Alpaca Down Skins
4. Animal Welfare,4.9. Handling and Transport Managed by the Organization,stage transport animals car sufficient number workers collectively possess appropriate ability knowledge competence necessary maintain health welfare responsibility changes persons organizations accept provides copy relevant procedures requir documentation complet prior embark travel accessible incomplete inaccessible does cause delay reach unload destination event delays aris journey contingency plan place ensure needs met rais compatible groups accustom separation distress accompani dependent young handl separately species follows a Animals significantly different sizes ages b Sexually mature males females c horns d hostile other e Ti unti vehicle us design construct avoid injury suffer safety transportation clean dry load Ramps set incline greater 20 degrees measures prevent adequate ventilation oxygenation stationary prevents buildup harmful concentrations gases impurities water vapor temperature signs heat cold stress exposure noxious immediate corrective actions taken protect adverse weather risk climatic conditions likely significant discomfort harm Stock density allow adopt natural posture sheep goat follow minimum area Shorn goats lambs kids 26 kg over 020030 m2animal Unshorn 030040 Heavily pregnant ewes 040050 alpaca Mean live weight Minimum floor m2head 04 30 05 40 06 50 07 60 08 80 10 Waterfowl overcrowd waterfowl container stock determin bas average densities exce Weight bird Space 16 180 200 cm2kg 3 160 5 115 105 Trucks weigh arrival slaughter site verify Journeys direct prolong stops shortest possible time Water fe opportunity rest available meet specifi period access food space exercise twentyfour 24 hours adult 12 Sheep wean months age eighteen 18 Alpacas 6 seven half 75 gestation 8 lactat alpacas 4 inspect pain regular intervals includ periods breaks operator conveyance refuel injur assist treat or euthaniz soon practicable Duration birds words LIVE BIRDS ANIMALS visible local language outside truck 1 criterion applicable mammals organization responsible 2 applies down knows people involv departure certifi final confirm competent requirements unifi standard person charge change farm implement criteria relat lies select present clear delineation roles responsibilities example Producerconsignor Responsible muster assembl Transporterdriver management additional inspections livestock post Receiver eg processor agent saleyard managersuperintendent Reception oversight aware ensures ready include animal status certificates lists identification etc provide details plans sources alternative tractor units trucks breakdown quickly repair route plann case road closures options excessive understood reaction predict hostility assess observation hold pens display compartments protocol types react ifwhen intend group seen ti halter lead rope Vehicles adapt maintenance vehicles sharp edges projections features body parts stuck vents openings fall regardless handles not audit Otherwise shall ensur wash completely slope 20degrees equivalent rise 11 Ramp angles steeper harder negotiate problems generate moisture remov overheat ventilat ammonia manure urine andor CO2 ne adjust openedshut accord shows understand principles good inspection sign lack mov force air cross winds help worst scenario Levels levels noticeably unpleasant humans impact vary season region roof provid fan bedd depend situation solid reduce wind chill factor these extreme arise reschedul External measure Includ humidity temperaturehumidity index better insight fiber remain range 10°C 30°C hot regions early morn even temperatures lower cases flow rely movement stopp long stop park shade right angle direction improve 7 length fleece affect recently shorn exception away droughtstricken day Exact below allows assessment vehiclecompartment height stand easily cm backbone largest multiple decks heights freedom turnaround closer check size pen compartment divid type information maximum plac allowances layout lie cush preferr position crates crate sit comfortably heads headroom wish calculations catch containers Calculations calculation written able act upon record transports market bypass nearby reason Stops pick second coordination turns up Rest Note durations first Direct journeys make pickups major detours doubl back recognizes principle that duration Specifics cover qualify intent chance stretch rehydrate eat continu facilities list essential Transport calculat starts leaves Adult younger start longer this reload begins driver makes checks deal sick contact treatment hisher need suitable equipment euthanasia carri train use it come perform apply newly hatch ducklings goslings unless fourhours nearest requirement ideally photographic evidence ConformanceRelat Leadership Critical Minor Major Recommendation wool Mohair Alpaca Down Skins
5. Processing Facility,5.1. Environmental Management System,organization Environmental Management EMS place includes a designat management level staff person responsible implementation b procedure updat remain compliance applicable legal requirements c document measur track relevant environmental indicators eg energy use water wastewatereffluent emissions air waste d plan developreview targets annually reach meaningful improvements e Procedures records train workers issues 1 appropriate scale intensity operation ConformanceRelat Major Cotton Sheep wool Mohair Alpaca Cashmere Recycl MMCF Biomaterials
5. Processing Facility,5.2. Chemical Management and Restrictions,organization Chemical Management CMS place includes follow a mechanism monitor meet relevant legal requirements relat chemical management b Procedures train workers and necessary properly manage c Complete information input suppliers includ address key contacts d Accurate lists inputs us materials complete current Safety Data Sheet SDS available English languages facility meets guidelines 525 addition maintains certifi Documentation demonstrates accept use procedure assess chemicals standard subsection Restrictions Sheets substance mixture production 5 years old criteria ANSI Z40012004 identifies comply US OSHA Hazard Communication Standard Regulation EC 19072006 REACH adapt account rules Globally Harmoniz Classification Labell Chemicals GHS implementation elements EU legislation introduc 12722008 CLP process shall contain Substances High Concern SVHC referr Article 57 European concern Registration Evaluation Authorization Restriction Annex XIV does substances mixtures classifi hazard codes andor risk phrases list ANNEX 4 addresses evidence recovery chemicalssolvents byproducts implement control technologies treatments sets targets implements steps taken meaningful improvement solvent rates reviews progress annually hazardous phas replac safer alternatives Organotin compounds manufacture Elastane Leadbas pigments manufactur Polypropylene elemental chlorine bleach pulp follows best techniques responsible Dissolv Grade DG minimum Foundational Level set chapter Responsible Fibre Production ZDHC MMCF Guidelines Reclaim textile material enter supply chain feedstock test restrict prior recycl records results maintain Pellet flake filament fibrous form outputs Prior scour sum totals provid exceed wool ectoparasiticide concentrations raw total limit value γhexachlorocyclohexane lindane αhexachlorocyclohexane βhexachlorocyclohexane δhexachlorocyclohexane aldrin dieldrin endrin ppDDT ppDDD 05 ppm Cypermethrin deltamethrin fenvalerate cyhalothrin flumethrin Diazinon propetamphos chlorfenvinphos dichlofenthion chlorpyriphos fenchlorphos 2 Diflubenzuron triflumuron dicyclanil uses optimum amounts alkali accordance technical specifications products 1 Subsection 52 unifi apply whole produc compliance carry traces residues Hence responsibility final sellers consumers ensure sold nominat Restrict Substance List RSL country sale case issue present reclaim initial new focus pellets flakes filaments fibers 3 Regard criterion requir entire position dedicat manag instead assign role hisher job responsibilities date supplier translations prepar countryspecific norms align consider compliant review Mixtures refers formulations manufacturers hav recogniz internally facilities Criterion applicable commercial trade brand names Examples cleaners detergents inks dyes spinn additives flame retardants antistatic agents category Recycl synthetic refer Commission Best Available Techniques BAT Reference Documents REF BREF member Apparel Alliance Textile Exchange committ support work sustainable different methods as to mechanical biological Polyester Guideline schedul releas 2024 improvements auditor advanc is adequate realistic virgin Manufactur document Pulp Paper Board update include Refer latest version Test data collection potential impact knowledge build Preconsumer waste com GOTS OEKOTEX self tests AFIRM ne perform additional postconsumer moment recommend Italian Detox Improvement Consortium CID provides parameters values Work categories phases promot external stakeholders topic textiles sampl frequency etc propos undertaken phase documentary establishes identity farmers 75 question independent verification bas site visits appli animals fields rais Wool scourers that incineration break aforemention ectoparasiticides sludge derogat requirement measures below Recovery compost liquid fertilizer Treatment energy anaerobic digestion ConformanceRelat MEL Indicator Leadership Major Minor Recommendation Sheep Mohair Alpaca Cashmere Biomaterials
5. Processing Facility,5.3. Waste Management,organization Waste Management Plan place minimize pollution health risks organic productionrelat wastes internal waste inspection perform annually establish baseline measurement inform development continuous improvement targets Landfillincineration avoidance met 5 years initial certification measures maintains records produc monthly basis sets meaningful reduction production improvements management reviews progress routinely looks implements ways increase reuse andor recycl Material recyclers collect reclaim material process retain follow verify volume a Records materials enter b description stage c relevant transfer notes d Reclaim declaration forms us lieu list above e Evidence current creat route avoids previous disposal routes documentation prove previously dispos prior inhouse tak f Declaration provid all inputs Inputs textile feedstock outputs usable applications treat properly hierarchy nonhazardous source compost energy recovery treatment collection programs available Organic burn necessary control weeds pests diseases indicat local regulations recogniz sustainability purposes Incinerators methods design specific type obtains permitslicenses stays updat changes legal requirements ensure ongo compliance contractors requir permits Hazardous segregat Workers train proper handl segregation Procedures inventory storage transportation streams procedures include improve environmental safety workers open airforbidden onsite uncontroll landfill occurr site sustainable sources transform resources eg means generation biogas biofuels 1 criteria subsection 53 apply nonfiber relat generat facility criterion explicitly talks 2 Productionrelat chemical hazardous packag 3 shall maintain sites assessment selection bins evaluate correct implementation help guide processes Avoidance bas minimum percentage reductions category track assess set auditor consider advanc adequate realistic review check excess Regard limit to demonstration virgin guidance accept PreConsumer Textile refer support document titl Exchange Guide Recycl Treat implement best method address distinct types minimiz potential aim conservation protection plann makes use services participate initiatives accessible offer area region Qualify voluntary organiz municipality community extension offices private schemes crop residues accordance guidelines protocols observ audit Burn practice defin categories stipulat absence refers characteristics Ignitability Corrosivity Reactivity Toxicity Criterion applicable incineration happen ConformanceRelat MEL Indicator Leadership Minor Recommendation Major Critical Cotton Sheep wool Mohair Alpaca Cashmere MMCF Biomaterials
5. Processing Facility,5.4. Water Use and Discharge,organization sets targets meaningful improvements water usage reviews progress annually measures maintains record monthly monitors compliance relevant legal requirements relat records wastewatereffluent drainage plan place includes wastewater flow direction discharge points elects treat onsite meets minimum accordance Foundational Level Heavy Metals Conventional Anions parameters latest version ZDHCs Wastewater Guidelines WWG national local stringent discharg environment Sludge treatment properly dispos of Wool scourers hav effluent follow recover value oxidiz grease fiber suint sludge aris scour a Recovery sale chemical feedstock b production compost liquid fertilizer c manufactur products build materials d Treatment energy recovery anaerobic digestion incineration test conduct 6 months train workers chooses offsite ensures facility adequate capacity volume receiv Reverse osmosis us process system automatic control provide reuse maximize resource reduce overall use 1 assess set auditor shall consider advanc is improvement andor realistic Offsite Common Effluent Plant CETP legally operat provid existence permit agreement contract certifi site participant pollution board MMCF manufacturers chapter ZDHC 2 meet oxygen demand COD values final wool Coarse 25 g CODkg greasy Fine 45 3 scope does cover polymer raw releases dedicat guidance it Onsite copy valid disposal contractor generat implement criterion exempt ectoparasiticide prior applicable Workers equipment direct ZDHC’s Approv laboratories Requirement level farm ConformanceRelat MEL Indicator Leadership Minor Major Recommendation Sheep Mohair Alpaca Cashmere Recycl Biomaterials
5. Processing Facility,5.5. Air Emissions,organization plan place measure monitor reduce harmful air pollutants eg carbon monoxide nitrogen oxides volatile organic compounds particulate matter greenhouse gas GHG emissions etc sets targets meaningful reduction reviews progress annually meets relevant legal requirements relat maintains records uptodate permits requiredapplicable inventory main point source potential fugitive regularly assess address necessary Equipment contain OzoneDeplet Substances ODS undergoes regular maintenance prevent detect 1 Requirement applicable facility level farm 2 set improvements auditor shall consider advanc is improvement adequate andor realistic US Environmental Protection Agency EPA defines pollution any single identifiable discharg pipe ditch factory smokestack list Montreal Protocol at httpswwwepagovozonelayerprotectionozonedepletingsubstances Leadership MEL Indicator ConformanceRelat Recommendation Minor Major Sheep wool Mohair Alpaca Cashmere Recycl MMCF Biomaterials
5. Processing Facility,5.6. Energy Use,organization written Energy Management Plan place track monitor use energy inputs purposes improv efficiency reduc fossilfuel bas sources time meets relevant legal requirements relat maintains records measures usage monthly basis sets targets meaningful improvements reviews progress annually employs available renewable energies eg biofuels biogas solar wind produc site procur needs mov main source electricity energyefficient equipment replac old inefficient help reduce Machinery optimiz adjust spe power motors type process Dissolv Grade DG Pulp manufacturers recover value spent liquors generat minimum 50 onsite steam viscose liquid vacuum jet pump consumption temperatures caustic soda aqueous solution lower uses oxidative properties Hydroxyl Radical Active Oxygen make pure cotton waste fabric low temperature purification dissolv pulp fibers lyocell 1 facility level include fuel machinery kWh stays updat local regional national laws regulations regularly legislation regulatory ensure compliance emissions energyrelat matters assess set auditor shall consider advanc is improvement adequate andor realistic record us yield percentage total utilization Renewable mean hydrowater geothermal non list characteristics preferr ANNEX 5 material category MMCF criterion applicable virgin recycl manufactur 2 appropriate install ConformanceRelat MEL Indicator Leadership Minor Major Recommendation Cotton Sheep wool Mohair Alpaca Cashmere Recycl Biomaterials
6. Chain of Custody,6.1. Applicability of the Content Claim Standard,Processors supply chain organizations processor eg brokers distributors requir conform criteria CCS101 Content Claim Standard instead section unifi standard Organizations purchas eligible material certifi recogniz implement Reclaim concentrators mechanicalchemicalmolecular recyclers organization farm group unless conducts follow activities a Purchas noncertifi fiber scope certificate b type process c Outsourc defin CCS 101 Section C5 storage d Parallel production rais different herds animals species NOTE evaluat Chain Custody applicable 1 performs transformation harvest collection raw is instance recycl recycler cotton earliest stage ie ginn down slaughter site animal fibers typically scour processors certification claims 2 Scenarios pulp wood chips forest management operation forestry gin producer criterion describes level require addition relevant requirements buy sites not ConformanceRelat Major Cotton Sheep wool Mohair Alpaca Cashmere Down Recycl MMCF Biomaterials Skins
6. Chain of Custody,6.2. Material Handling,organization keeps certifi material physically separat properly identifi noncertifi storage facilities manag order identify segregate Procedures shall place prevent commingl substitution materials outsources activities section C5 CCS101 Content Claim Standard implement 1 conducts parallel production ensures fiber kept sell claims ConformanceRelat Major Sheep wool Mohair Alpaca Down Skins
6. Chain of Custody,6.3. Volume Reconciliation,organization maintains records follow a Volumes material produc collect b sold noncertifi certifi applicable scope certificate c Technical specifications calculates capacity farm terms quantity ie yield year conducts annual volume reconciliation demonstrates credible bas balance materials with certification claims exist inventory 1 animal fibers microns PC0033 PC0034 fiber length mm fineness unit feather RM0032 RM0039 RM0328 RM0329 power farms operational aligns project production undertakes rigorous calculations provid justifications lead assessment 2 need measure organizations potential prerequisite conduct Describ includes land area usage number animals hectare consider parallel relevant factors 3 determination involves assess count individual considers frequency cycles objective ensure output Group Certification ICS instead member suggest template use ConformanceRelat MEL Indicator Major Sheep wool Mohair Alpaca Down Skins
6. Chain of Custody,6.4. Sale of Certified Materials,organization holds valid unifi standard scope certificate material shipp sold certification claims Otherwise shall consider certifi eligible farm later 1 year time animals shorn provid follow points met a audit critical nonconformities found b Traceability previously confirms comes c mules achiev ceas status prior wool only applies transaction TC body materials business reference sales documents carry logo andor identifi market application includes document proof sale provides information request include limit to Invoices purchase orders financial records party quality test reports eg government transportation outgo nam buyer identity quantities Group Certification ICS requests certificates seller requir hold order sell process applicant issu expires important apply soon possible Transaction applications receiv 90 days shipment date change bodies exact timelines refer ASR104 Policy Certificates Farm Member notice given grant permission ConformanceRelat Major Sheep Mohair Alpaca Down Skins
6. Chain of Custody,6.5. Logo Use and Claims,certifi organizations valid scope certificate make use unifi standard logos andor claims permitt Claims Policy materials transaction eligible label case public fac logo approval obtain accordance prior ConformanceRelat Major Sheep wool Mohair Alpaca Down Skins
7. Group Certification,7.1. Group Management,group manag legal entity represents entirety members consider applicant certifi organization behalf Internal Control ICS Manager locat single country Europe Communal Farmer Group meet qualify criteria 1 Legal context legally establish eg commercial enterprise association cooperative nongovernmental etc individual person hav permits operate 2 manage provid capacity resources certificate defin countries belong European Union plus Unit Kingdom Norway Switzerland Groups includ producers mammal animals waterfowl given farm member straightline distance 500 km headquarters Farmers eligible participation certification follow met farmer faces significant economic constraints lack capital assets low access finance ie economies scale information technical knowledge market shall little land security independent affiliat company heshe produces fibers small number livestock relies family labor Animal farmers primary source income uses relatively levels agricultural inputs comparatively yields relative range commodity andor footprint does necessarily share order ConformanceRelat Critical Major Sheep wool Mohair Alpaca
7. Group Certification,7.2. Internal Control System,organization internal control ICS place appoints Manager responsible management ensur conformity relevant unifi standard requirements group members designates responsibilities different actors eg employees contractors etc contains document procedures show certificate manag includ follow elements a Approv sanction b Maintain records c Train d Mechanisms address grievances e Internal inspections guarantee conformance f Followup corrective actions rais g Logo use claims maintains structure complete updat list sign membership agreement member specifies scope rights obligations receive periodic audit certification body complet version Farm Questionnaire farm Polygon data ie GIS shapefiles location extent farmland Records sites nonconformity applicable belong certifi type individual case h Communal Farmer Groups only copies level plans supports meet sections 1 us oversight criteria 2 criterion assesses Ideally legal entity represent however delegat contract person consult firm hir specific purpose free determine implementation conduct long demonstrat provide written documents demonstrate points accept add new Group assessment eligibility 3 include right appeal sanctions impos issues relat rightspayments volume reconciliation others cover point does apply Members single Point applies requir organizationspecific 4 Regard levels partially meets requirement example details shall Minor all Major Critical ensures comply depend circumstances materials produce ConformanceRelat Sheep wool Mohair Alpaca
7. Group Certification,7.3. Group Member Requirements,Group members access to understand relevant requirements unifi standard aware consequences nonconformity ICS employees includ inspectors provid train regard sufficient meet responsibilities 1 ensures group needs happens ne includes differences levels conformity apply record receiv interviews demonstrate equipp various ConformanceRelat Major Sheep wool Mohair Alpaca
7. Group Certification,7.4. Inspection of Members,ICS documents implements inspection protocol ensure relevant standard requirements met group members includ a process address nonconformities member eg identification grad followup closure suspension keep records issu clos explanation corrective actions taken b designates inspectors carry internal inspections c onsite annual d written report prepar identify findings e ensures aware select sample audits accord risk assessment certification body possible additional visits notice 1 provide copy includes points list criterion 2 conduct immediate family operations 3 collect means verification pictures key especially rais 4 copies reports request Textile Exchange ConformanceRelat Major Sheep wool Mohair Alpaca
7. Group Certification,7.5. Adding and Removing Members,New members add group follow happens a ICS receives sign membership agreement member b complet version Farm Questionnaire farm c polygon data ie GIS shapefiles show location farmland d inspector inspection site certification body conduct audit case declin internal inspections e Critical Major nonconformities clos f approval addition new situation requires removes notify removal writ 2 weeks decision taken stat reason eg voluntary nonpayment nonconformity etc 1 shall demonstrate elements criterion met Unless farmer Communal Farmer Group scope certificate includ individual Different certificates different materials 3 joins reviews level plans makes amendments ensure continue reflect Reasons be Voluntary withdrawal Nonpayment agre fees Inability close open andor Repetitive define ConformanceRelat Sheep wool Mohair Alpaca
