Tag 1,Tag 2,Tag 3,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Your Comments
3. Land Use,3.6. Conservation of Biodiversity,3.6.1,The organization has a written Biodiversity Management Plan (BMP) that guides management and monitoring of biodiversity on the farm.,"1) This criterion assesses whether a written BMP exists. The details of the plan are described in the criteria below. For communal farmers on shared land, one plan for the shared production area will suffice, and all communal members must adhere to this collective management plan.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.2,"The Biodiversity Management Plan includes management of land in each of the following sensitive areas, where these exist on the farm:
a) Protected areas;
b) Key biodiversity areas;
c) Biodiversity hotspots;
d) Rare, endangered and endemic species;
e) Riparian areas and aquatic ecosystems; and
f) Wildlife corridors and migration routes.","1) Biodiversity management plans need to describe and spatially represent any of these sensitive areas if found on the farm. This section can be supported by the farm profile created through the completion of the Farm Questionnaire and spatial data support through Climate+ (which will identify any Protected Areas, Key Biodiversity Areas and Biodiversity Hotspots).",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.3,"The Biodiversity Management Plan identifies and addresses each of the following threats to biodiversity:
a) Grazing pressure;
b) Crop management;
c) Soil management;
d) Alien and invasive species;
e) Hunting, fishing or gathering of protected, threatened or endemic plant or animal species; and
f) Human-wildlife conflict management.","1) This section of the BMP describes management interventions to address the threats to biodiversity relevant to farming activities. These considerations overlap with other land management criteria, but this criterion ensures planning for the benefit of biodiversity.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.4,The Biodiversity Management Plan includes considerations for rewilding of low productivity or unproductive land into habitat for biodiversity enhancement.,1) Rewilding refers to efforts to restore biodiversity and ecosystem health. Areas on the farm that are low value in terms of productivity may deliver more benefits by being rewilded.,Leadership,Recommendation,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.5,"Cropping practices are used to encourage biodiversity, using native or locally adapted species.","1) Native or locally adapted species often require less nutrient and/or pesticide inputs to thrive, as they are adapted to local conditions. These species may support local biodiversity through inclusion in their native environments.",Leadership,Recommendation,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.6,"The Biodiversity Management Plan takes an ecological systems' approach and follows principles of agroforestry, agroecology and/or permaculture.","1) The Convention on Biological Diversity’s definition of the ecosystem approach is: “a strategy for the integrated management of land, water and living resources that promotes conservation and sustainable use in an equitable way”.

2) Agroforestry - where trees and agriculture (cropping and/or livestock) are integrated on the same area of land and/or permaculture - utilizing land and resources without producing waste, are ways that an ecological systems' approach can be applied.",Leadership,Recommendation,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.7,The Biodiversity Management Plan includes steps to improve habitat connectivity across the farm.,"1) This criterion recognizes an effort to reduce habitat fragmentation. Options include removing areas of land from production to connect other areas of existing habitat, establishing trees or plants that are maintained as habitat areas, allowing existing habitat areas to encroach onto farmland, etc. These and other options contribute to improved ecosystem functions and improve movement of wildlife.",Leadership,Recommendation,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.8,The organization implements non-lethal measures to minimize human-wildlife conflicts.,"1) Non-lethal measures must be put in place if there are any risks of human-wildlife conflict.

2) Non-lethal measures can include:
- Exclusionary fencing;
- Livestock guardian animals;
- Lights and sirens (may be motion activated); and
- Fladry lines (i.e., flags/strips of fabric attached to fences).",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.9,"Lethal control of wildlife is only used where non-lethal measures have been demonstrated to be ineffective (i.e., wildlife remains a problem after non-lethal measures used), and lethal control is legally permitted.","1) Rats and mice are not considered as wildlife under this criterion.

2) It must be demonstrated that all non-lethal methods have been exhausted before lethal control or live trapping is considered an option. 

3) If used, live traps shall be managed to target the specific problem animal and shall be checked at least twice every 24 hours. Lethal control or live trapping should only be used if legal in the country of operation. It is the organization's responsibility to check the relevant legislation in the country of operation to ensure that control measures are legally permitted, and that the species involved are not protected by law.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.10,Lethal control targets the specific animal(s) that is/are creating the conflict.,"1) This criterion aims to reduce the chances of non-selective persecution of non-conflict species, and reduce the negative effect of such an action on biodiversity.

2) If one species is causing a problem that cannot be controlled by non-lethal means, it is not acceptable for all members of that species to be targeted for lethal control. Monitoring must take place to identify the animal(s) that is/are presenting a risk to livestock or crops.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.11,"Lethal control is not used for protected, threatened, or endemic species.","1) Lethal control is not permitted for protected, threatened or endemic predator species. The IUCN Red List provides details on threatened and endemic species (https://www.iucnredlist.org/).",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.12,The organization ensures that lethal control of any animal causing conflict results in instantaneous unconsciousness and death.,"1) This is to ensure the humane treatment of the animal prior to death, and to reduce pain and suffering. Acceptable methods include the use of a firearm by a skilled marksman.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.13,The organization does not use leg hold traps or snares.,"1) Regardless of country legislation, this method of trapping is prohibited. ""Soft hold"" traps are included in this prohibition. This criterion aims to reduce pain and suffering, and the mutilation of non-select species that may need release from such traps.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.14,A baiting program using poison for any species other than rats and mice is only used if all the following criteria are met:,"1) This criterion is only permitted if all the associated conditions (those applicable to the country and specific local context), are met and must be part of a wider conservation or regional program informed by experts.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
,,,a) The target species is classified as invasive;,"2) This means that the animal in question must be formally recognized as an invasive species and not just something considered a pest by the organization. 

3) An ""invasive species"" is a species that is:
- Non-native (or alien) to the ecosystem under consideration; and
- Whose introduction causes or is likely to cause economic or environmental harm, or harm to human health.

4) Non-native species are plants and animals living in areas where they do not naturally exist. ""Non-native species"" and ""invasive species"" cannot be used interchangeably.",,,,
,,,"b) If the target species is a predator, it presents an active threat to the animals covered under the certificate scope; ","5) This means that the animal species must be a predator and needs to be an active threat to the certified animals, and cannot be persecuted for historical issues, but rather current actions.",,,,
,,,"c) The organization has a written Wildlife Management Plan that details the issue, the proposed control, and who does what, where and when;","6) The organization's written Wildlife Management Plan needs to align with or form part of the larger conservation or regional management plan, guided by the experts driving the invasive predator management program.",,,,
,,,d) The Wildlife Management Plan has an integrated approach that includes other species that could increase if the target wildlife population is reduced;,"7) An integrated approach takes account of the unintended consequences of the proposed control program. For example, foxes may be causing issues for sheep farmers, but they may also be keeping rabbit numbers in check and thereby supporting the reduction of crop damage from that species.",,,,
,,,"e) Alternative compliant methods of control (i.e., shooting individual problem animals, use of CO2 traps, etc.) are considered by the plan, with justification as to why they are unsuitable for the farm situation;",8) This sub-criterion calls for a baiting program to only be used where it can be demonstrated that all other compliant methods under this unified standard are not effective or suitable for the purpose.,,,,
,,,"f) At least two non-lethal control methods have been attempted (e.g., wildlife proof fencing, light or sound deterrents, livestock animals, etc.);",9) This sub-criterion requires that at least two non-lethal controls have been attempted prior to lethal control being considered.,,,,
,,,"g) The decision to use poison took into consideration the landscape or regional level impacts, and involved expert input from external bodies;","10) These baiting programs cannot be done by individual organizations in isolation. Instead, they should be part of larger landscape-driven management programs and should therefore rely on the experts informing these programs and the considerations made in line with landscape needs.",,,,
,,,"h) The choice of poison took into consideration environmental impact, animal welfare, and legal restrictions;","11) Programs to control invasive species must include the reasoning behind the poisons chosen, including consideration for the environment, animal welfare, and any legal restrictions. The goal is to avoid as many potential negative knock-on effects as possible, and promote the most humane options (e.g., avoiding anti-coagulant products where possible).",,,,
,,,"i) All bait (including that which is unused or uneaten), is utilized and disposed of according to product label requirements;",12) The bait is not to be used for any reason other than for the purpose of the program and must be managed as per the product label requirements. Unused bait must be collected and disposed of safely.,,,,
,,,"j) The poison bait is distributed so as to avoid non-target wildlife, whether this is by primary or secondary poisoning; and","13) The bait needs to be distributed in such a way as to reduce the risk of poisoning non-target wildlife (primary poisoning). This needs consideration of location, accessibility to the bait by non-target wildlife, and the possibility of scavenging on poisoned carcasses; thereby, resulting in secondary poisoning. No indiscriminate distribution of bait or poisons, such as aerial or spray applications, is permitted.",,,,
,,,"k) Monitoring takes place before and after poison bait is used, to firstly determine where invasive wildlife is active, and secondly to determine the success of the baiting program.","14) Monitoring is crucial to ensure that the progress of the program is tracked to inform adaptation of interventions, and to assess the necessity of continuing with the program at all. Evidence-based outcomes are essential to monitor impact, both positive and/or negative, to ensure that these programs are effective and implemented responsibly.",,,,
3. Land Use,3.6. Conservation of Biodiversity,3.6.15,"The organization maintains records of each time lethal control methods are used, including date, species, and reason for use of lethal methods.",1) This criterion aims to ensure careful consideration is given to lethal control methods and requires justification for why the species and the lethal method were used. Tracking these interventions over time may help to monitor trends that can further inform management planning.,"Conformance-Related, MEL Indicator",Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.16,"If lethal control has been necessary, non-lethal control methods used to minimize human-wildlife conflicts are immediately reviewed to identify improvements, to avoid further conflict.",1) This criterion ensures that lethal control does not get adopted as an ongoing method of wildlife management and that constant investigation into alternative non-lethal methods is implemented.,Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.17,"No deforestation or conversion of natural ecosystems to agricultural land occurred from June 1st, 2016, onwards.",1) Deforestation and conversion under this standard align with the definitions as set out by the Accountability Framework initiative (AFi) and relate to the deforestation and conversion of natural ecosystems and forests also defined under AFi. This cut-off date is applicable to any fiber historically recognized under the original RAF standards as the cut-off dates were set in line with the release of the initial RWS standard in 2016.,Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
3. Land Use,3.6. Conservation of Biodiversity,3.6.18,"Greenhouse gas (GHG) accounting tools are used to determine annual GHG emissions and sequestrations, and the findings are used in the organization's annual planning.","1) This criterion recognizes any efforts made by the organization to record or track its GHG emissions, for example with programs such as COMET-Farm, Cool Farm Tool, etc., with the intention of adapting management planning to reduce these by promoting efficient use or the reduction of reliance on these inputs.","Leadership, MEL Indicator",Recommendation,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.1,"The organization has a written Health and Welfare Plan in place, which includes the following where applicable:
a) How nutritional requirements are met;
b) How access to clean and safe drinking water is maintained;
c) Prevention and monitoring of health issues (e.g., prevalent diseases, vaccination, lameness, injuries, internal and external parasites);
d) Standard procedures for animal husbandry operations (e.g., castration and euthanasia);
e) Biosecurity;
f) Grazing management; and 
g) Loading and transport.","1) For Communal Farmer Groups, the written management plan for herd and/or flock health and animal welfare can be prepared at the group level.

2) Grazing management is not applicable to down producers.

3) A suggested template for this plan will be provided in the User Manual.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.2,"The organization's Health and Welfare Plan is developed with, or reviewed by, a veterinarian at least annually.","1) Small Producer: this criterion is a recommendation.

2) For down, there is a separate requirement that a vet comes to the farm at least annually (with the exception of small farms), so the health and welfare plan can be reviewed at the same time.

3) For fiber animals, there can be challenges in getting access to vets. For this criterion, the vet could support the development and/or review of the organization's health and welfare plan remotely.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.3,A veterinarian visits the farm at least annually to check on the health condition of waterfowl. ,"1) For small farms, veterinary access shall be available as needed.
",Conformance-Related,Minor,Down,
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.4,"An Emergency Plan is in place to maintain animal welfare in exceptional circumstances (e.g. fire, power or water cut off, flood, snow storm, feeding system breakdown, transport vehicle breakdown, epidemic disease outbreak, etc.), including:
a) Measures that will be taken to ensure adequate feed and water are made available;
b) A strategy for the provision of shelter;
c) A strategy for assessment and treatment of animals in an epidemic disease outbreak; and
d) How arrangements will be made, if necessary, to relocate, sell, or humanely euthanize animals to ensure their welfare is not adversely affected.","1) A written emergency plan exists, addresses the points listed in the criterion and is applicable to the certified organization (i.e., mitigation of  circumstances that are at higher risk of occurrence are given more detail).

2) For Communal Farmer Groups, the written emergency plan can be prepared at the group level.

3) A suggested template for this plan will be provided in the user manual.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.5,"If personal protection equipment is required, it is either made available by the organization, or visitors are informed of what is required in advance of their arrival.","1) This is most likely to be applicable to commercial, housed systems of ducks and geese production.",Conformance-Related,Minor,Down,
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.6,Foot brush/disinfectant or barrier footwear systems are provided at the entrance to the farm.,"1) This is most likely to be applicable to commercial, housed systems of ducks and geese production.",Leadership,Recommendation,Down,
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.7,"When there is a risk of parasite infestation that cannot be resolved through management, animals are treated preventatively. ","1) Preventative treatment may be used under this criterion, but only when management cannot resolve the risk. It is therefore not acceptable to routinely worm any animals on set dates or at set intervals.

2) Preventative treatment could be justified for specific parasites where there are industry forecasts to guide farmers on expected peak levels according to climate (e.g., nematodirus), or at stages in the production cycle (e.g., females in late gestation often suffer a temporary decline in their resilience to internal parasites and a preventative treatment before they give birth can reduce them shedding parasite eggs that would otherwise infect their offspring).

3) Mulesing and other breach modifications are not included as ""treatments"" under this criterion.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.8,"Health and welfare inspections are conducted at least twice per day to monitor for signs of disease, injury or any other signs of ill health.","1) An adequate wellness check includes the following:
- Walk slowly and carefully through the flock to find injured or lame birds. 
- Be sure to walk close enough to view all birds to identify any issues.
- Identification of any sick or injured birds.
- Check that all feeding and watering equipment is clean and in good working order.
- Check animal feces for signs of disease or worms.",Conformance-Related,Major,Down,
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.9,"The organization shall conduct routine welfare inspections and monitor for signs of disease, lameness, injury, or any other signs of ill health. The frequency of inspections is increased when appropriate (e.g., for extreme weather events, birthing times, flystrike, etc.).","1) Animals are inspected frequently enough to avoid unnecessary suffering. The frequency of inspections is appropriate to the scale and type of farming system. When animals are housed or penned off pasture, stock keepers conduct daily inspections to inspect their livestock and equipment. Records shall be kept for incidences that need any treatment.

2) When animals are in extensive pasture settings, the frequency of inspection of individual animals and groups may be less often. It is expected that the organization has a daily routine for checking animals, but not that it visits every occupied pasture or range area on the certified site nor that it sees every group or individual each day. If high levels of injury, morbidity and/or mortality occur on farm, this could be an indication that inspection frequency is insufficient.

3) A more detailed inspection frequency guidance note will be included in the user manual.","Conformance-Related, MEL Indicator",Major,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.10,"Workers are knowledgeable and demonstrate competency in handling animals and possess and practice the ability necessary to maintain the health and welfare of the animals, and conduct husbandry procedures, euthanasia, and on-farm slaughter that meet the requirements of the unified standard.","1) Workers are knowledgeable in current best practices for animal welfare for the species they work with, as well as recognize when they need to call on veterinarians or other experts.

2) Workers who are responsible for carrying out husbandry procedures, euthanasia and on-farm slaughter can describe, when interviewed, techniques that align with the requirements of the unified standard.",Conformance-Related,Critical,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.11,"Animals' body condition is routinely monitored, as part of the organization's Health and Welfare Plan. ",1) Routine monitoring requires that at least a sample of animals are assessed at least twice each year. Ideally farms should get in the habit of doing an assessment every time animals are gathered and handled for other management tasks.,Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.12,The organization has workers capable of measuring the animals' Body Condition Score (BCS).,"1) Workers are aware of the Body Condition Score system and have been trained on the correct points of the body and the muscle and fat coverage at these points on which to base their assessment.

2) Body condition scoring guidance and templates for record keeping will be included in the User Manual.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.13,"If a Body Condition Score measurement identifies evidence of inadequate nutrition, the organization takes appropriate action to return the animal(s) to good health, and these actions are recorded.",1) Inadequate nutrition is a score of less than 2.0 when using a Body Condition Scoring system of 1.0 to 5.0.,"Conformance-Related, MEL Indicator",Major,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.14,"Animals have not more than 20% of their body covered in plaques of dirt, or not more than 30% covered with liquid dirt.","1) The animal's head, neck and legs below the knee or hock are excluded for the calculation of the percentage of its 'body'.

2) Plaques of dirt are built up, three dimensional, areas of mud or dirt which indicate prolonged exposure to dirty or muddy conditions. 

3) Groups of animals are assessed visually, ideally within a few meters from each individual. It can be difficult to get this close to animals on extensive pasture, but the risk of dirtiness is in any case highest for animals held in pens or housing. 

4) Further guidance on this criterion will be included in the User Manual.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.15,Animals that are found suffering from welfare or health problems are treated promptly.,"1) Treatment is “prompt” when it is delivered as soon as possible after the health problem is discovered. For housed animals, this could be within minutes and certainly within an hour, for animals out on pasture that must be caught before treatment, potentially requiring a return to the farm for equipment and the assistance of other workers, it could be several hours before treatment can be accomplished.",Conformance-Related,Critical,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.16,"Treatment is not withheld in order to preserve individual animal's, herds', or flocks' eligibility for market.","1) This is most relevant where additional certifications are held by the certified organization that prohibit the use of some medications. For example, some retailer programs for meat prohibit all use of antibiotics.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.17,Sick or injured animals that need to be removed from the herd or flock are provided a safe space for their treatment and recovery.,"1) Not all sick or injured animals need to be removed from the herd or flock, and treating animals within the herd or flock can sometimes lead to quicker recovery. However, animals that are unable to keep up with the rest of the flock and/or find it difficult to access feed and water may need to be placed  in hospital pens or similar.

2) Requirements for living environment (e.g., space per animal, dry bedding, etc.), and nutrition (e.g., easy access to appropriate food and clean water), as specified in the unified standard continue to be met for animals placed in hospital pens or other safe spaces.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.18,"When advice is needed on prevention, treatment and/or strategies to avoid the development of resistant parasites, such advice is sought from a veterinarian or other specialist advisor.",1) This requirement is specific to the challenges of parasites that are or may become resistant to treatment.,Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.19,"When dipping is conducted, stress to the animals is minimized, and the health and safety of workers is safeguarded.","1) If dipping is to be effective, the animals must be fully submerged in the solution, but care must be taken to ensure they do not drown.
 
2) Females and unweaned offspring are separated so that the young animals do not get trapped by bigger animals while in the dip.

3) Animals are not dipped with open cuts or wounds, to minimize any risk of infection.

4) Animals are not dipped when they are wet, tired or thirsty. The dip solution is kept at the required concentration and does not become excessively contaminated with soil or feces as this can lead to post dipping lameness.

5) Animals are ideally dipped in the morning so they have time to dry before nightfall, and avoid any potential complications such as pneumonia.

6) Workers' safety can be maintained by ensuring the correct personal protective equipment is worn; dipping takes place in an area where there is good ventilation, and splash boards and screens are provided to reduce the splash onto workers from animals entering the dip.

7) Note that dip residues can remain on animals for several weeks following dipping, so protective equipment should be used if handling those animals is required during that time.",Conformance-Related,Major,"Sheep wool, Mohair, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.20,Treatments for the health of the animals are administered according to the label or veterinary advice.,1) There is guidance available on use of common health treatments and/or interviewed workers responsible for administering treatment can describe how they assess dosage and administer the products.,Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.21,"For all treatments, the organization maintains records detailing:
a) Substance (product) administered and reason for treatment;
b) Animal or group identification;
c) Number of animals treated;
d) Date of treatment; and
e) Withdrawal period.",1) Records are provided by the organization upon the CB's request.,"Conformance-Related, MEL Indicator",Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.22,"Animals needing treatment but unable to move on their own due to illness or injury, are moved humanely (e.g., by truck, sled, or cart).","1) The organization needs to assess any sick or injured animals. If an animal has a chance of recovery after treatment, cannot rise and walk easily but needs to be moved in order to get treatment, the movement needs to be done carefully to avoid any further pain or distress. Using a truck, sled, or cart, depending on type and size of animal supports this outcome.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.23,The organization maintains mortality records for animals that die or are euthanized.,"1) Records are provided by the organization upon the CB's request.

2) Records distinguish between animals that die or are found dead, and those that are euthanized.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.24,"Unexpected deaths and disease outbreaks are investigated, and preventive and remedial actions taken.","1) The organization should be aware of prevalent diseases and/or other risks that could lead to disease or death. If deaths or disease outbreaks occur outside of these expectations, these are investigated with external expert advice if necessary, and remedial actions taken to avoid recurrence.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.25,"If mortality rates exceed expected levels, actions are taken to resolve the problem.","1) There is no set ""expected level"" of mortality determined by the unified standard, rather the organization needs to have its own expectations for overall mortality and/or mortality for different types or age groups of animals. When rates exceed these limits, the organization must investigate the cause and take action to bring mortality back to its expected levels.

2) The organizations shall keep records of mortality rates and the actions taken as a result.","Conformance-Related, MEL Indicator",Minor,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.1. Health and Welfare Plan,4.1.26,"Species of animals not included in the certificate scope, which are kept on the farm, are treated humanely. These animals are not continuously under close confinement, and receive nutrition, care, handling, and veterinary attention as necessary for their health, safety, and comfort.","1) The auditor is not expected to perform a full audit of the welfare for all non-certified species on the certified site, but if while auditing the certified species, concerns about the management and welfare of other species are observed, this criterion should be applied.

2) Other species could include working animals, guardian animals, and/or other species of livestock on the certified site.

3) Close confinement is defined as situations when an animal does not have freedom of movement.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.1,"When planning for feeding and nutrition, the organization takes into consideration animal numbers, seasonal forage production, bought-in food, and changing climate patterns.","1) Climate change has resulted in changes to expected growing conditions in some regions. For example, regions where drought was previously an emergency situation are now finding this to be a common occurrence. Planning for feed and nutrition needs to take account of these evolving climate patterns and their impact on the available feed for animals.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.2,"Animals have access to adequate forage-based nutrition, suited to the animals’ age and needs, to maintain health and to prevent prolonged hunger or malnutrition.","1) Overall nutrition is based on forage which may be grazed and/or offered in harvested forms (e.g., hay, baleage). This does not preclude the use of grains or protein feeds to maintain animal health and welfare.

2) All feeds need to be palatable and together deliver the appropriate dietary needs in terms of protein, energy, minerals, etc. 

3) Forage content in the daily diet is sufficient to avoid negative outcomes, such as acidosis.",Conformance-Related,Critical,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.3,Changes in diet are introduced gradually.,"1) The organization has a protocol in place so that when animals are transferred from pasture to crop grazing (or vice versa), and/or introduced to supplementary feeding, this is done at a rate that allows them to adapt to the new feed.

2) The time needed for adaptation will vary with the severity of the change in diet.",Conformance-Related,Minor,"Sheep wool, Mohair, Alpaca, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.4,Waterfowl are provided with sufficient food to meet their nutritional needs and to maintain them in good condition.,"1) The organization supplies palatable feed that meets the needs of different ages and types of birds. For example, young birds in the brooding phase require higher protein diets than older birds.",Conformance-Related,Critical,Down,
4. Animal Welfare,4.2. Animal Nutrition,4.2.5,Feed is continuously available to animals during daylight hours.,"1) For waterfowl with access to free ranging areas, this could include vegetation as well as feed provided by the organization.",Conformance-Related,Major,Down,
4. Animal Welfare,4.2. Animal Nutrition,4.2.6,There is sufficient space at feeders such that waterfowl can eat without undue competition.,1) Observed waterfowl have space to feed if they choose. There is no sign of waterfowl queuing for access to feeders.,Conformance-Related,Major,Down,
4. Animal Welfare,4.2. Animal Nutrition,4.2.7,Growth promoters are not used.,"1) Growth promoters are not routinely used in waterfowl or fiber animal production. Growth promoters are prohibited in many countries; however, antibiotic use in the absence of disease or disease risk may be used as a growth promoter. Any flock or herd-based treatments are justified as being for health needs.",Conformance-Related,Major,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.8,"Waterfowl are not force-fed, including by contractors through outsourcing.","1) When done, force-feeding waterfowl generally takes place in the last two to three weeks prior to slaughter. To facilitate force-feeding, the birds are split into small, penned groups, so any splitting of large flocks into smaller groups as part of the production cycle should be investigated by the CB or the ICS (under a group scope certificate).",Conformance-Related,Critical,Down,
4. Animal Welfare,4.2. Animal Nutrition,4.2.9,The organization does not source waterfowl that were force-fed.,"1) This is only a risk if older birds are sourced by the organization. If this occurs, the organization is able to provide details of the source and how it ensures these birds were not force-fed.",Conformance-Related,Critical,Down,
4. Animal Welfare,4.2. Animal Nutrition,4.2.10,"Where soy is included in the animals’ diets, it is not sourced from countries where there is a high risk that crop land was created by deforestation or conversion, unless there is verification that this has not occurred.","1) The cutoff date for deforestation and conversion for this criterion is December 31, 2020.

2) This can be checked through declarations from feed suppliers for country of origin and/or whether the soy is certified, for example through the Round Table on Responsible Soy.",Leadership,Recommendation,Down,
4. Animal Welfare,4.2. Animal Nutrition,4.2.11,"Animals have an adequate supply of clean, safe drinking water every day.","1) Water (supplied from troughs, drinkers or natural water sources), is clean and of good quality, and at an easily accessible level at all times.

2) Where animals cannot have continuous access to water, for example in nomadic herding systems, they are able to drink their fill at least twice per day.",Conformance-Related,Critical,"Sheep wool, Mohair, Alpaca, Down, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.12,"Sheep and/or goats are only deprived of feed and water when reasonable for management practices (such as shearing, transport, or slaughter), and not for longer than twenty-four (24) hours.","1) The time that sheep or goats are held off feed and water is always no more than the minimum required for the task at hand.

2) When successive groups of animals are removed from feed and water over a period of time (e.g., for shearing), the organization ensures it keeps track of which animals were taken off feed and water at which time, and ensures that all animals are returned to feed and water by the maximum time permitted by this criterion.",Conformance-Related,Major,"Sheep wool, Mohair, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.13,Ewes and/or does in late pregnancy or lactating are not deprived of water for more than twenty (20) hours.,"1) Late pregnancy ewes and does are those that are within the last third of gestation. 

2) The organization can describe how it tracks the time when each group of late pregnancy or lactating ewes or does are removed from water and when they are returned to water, and this must not exceed 20 hours.",Conformance-Related,Major,"Sheep wool, Mohair, Skins",
4. Animal Welfare,4.2. Animal Nutrition,4.2.14,"Alpacas are only deprived of feed and water when reasonable for management practices (such as shearing, transport, or slaughter), and not for longer than six (6) hours.","1) The organization can describe how it tracks the time when each group of alpacas is removed from water and when they are returned to water, and this must not exceed six hours.",Conformance-Related,Major,Alpaca,
